Time (ms)	Voltage (V)	Voltage (V)	Voltage (V)	Output Voltage (V)	Output Current (A)
0	0.669	1.211	-0.962	0.962	0.068
0.075	0.742	1.235	-0.942	1.084	0.076
0.15	0.82	1.265	-0.918	1.211	0.084
0.225	0.898	1.284	-0.894	1.333	0.091
0.3	0.967	1.304	-0.864	1.455	0.099
0.375	1.04	1.323	-0.84	1.572	0.106
0.45	1.113	1.328	-0.811	1.685	0.113
0.525	1.177	1.348	-0.776	1.797	0.12
0.6	1.25	1.353	-0.747	1.904	0.126
0.675	1.309	1.357	-0.713	2.007	0.132
0.75	1.367	1.362	-0.679	2.104	0.138
0.825	1.426	1.357	-0.64	2.202	0.144
0.9	1.479	1.362	-0.601	2.29	0.149
0.975	1.533	1.353	-0.562	2.373	0.155
1.05	1.582	1.338	-0.518	2.456	0.159
1.125	1.621	1.333	-0.479	2.529	0.164
1.2	1.67	1.318	-0.435	2.603	0.168
1.275	1.704	1.304	-0.391	2.666	0.172
1.35	1.738	1.279	-0.352	2.725	0.175
1.425	1.772	1.255	-0.298	2.778	0.178
1.5	1.797	1.24	-0.254	2.827	0.181
1.575	1.821	1.211	-0.215	2.871	0.183
1.65	1.841	1.172	-0.161	2.905	0.185
1.725	1.86	1.147	-0.117	2.935	0.187
1.8	1.87	1.113	-0.068	2.964	0.188
1.875	1.88	1.074	-0.02	2.979	0.189
1.95	1.885	1.035	0.024	2.993	0.189
2.025	1.885	0.996	0.073	2.998	0.189
2.1	1.88	0.957	0.122	2.998	0.189
2.175	1.875	0.908	0.166	2.993	0.188
2.25	1.865	0.859	0.215	2.979	0.187
2.325	1.851	0.811	0.259	2.964	0.185
2.4	1.831	0.762	0.303	2.939	0.183
2.475	1.812	0.708	0.352	2.905	0.181
2.55	1.787	0.654	0.396	2.871	0.178
2.625	1.753	0.605	0.439	2.832	0.175
2.7	1.724	0.547	0.479	2.783	0.172
2.775	1.689	0.483	0.522	2.729	0.168
2.85	1.646	0.435	0.562	2.666	0.164
2.925	1.602	0.371	0.601	2.607	0.16
3	1.553	0.312	0.645	2.534	0.155
3.075	1.504	0.254	0.674	2.461	0.15
3.15	1.455	0.19	0.713	2.383	0.145
3.225	1.396	0.132	0.747	2.295	0.139
3.3	1.338	0.068	0.776	2.207	0.133
3.375	1.279	0	0.811	2.109	0.127
3.45	1.211	-0.054	0.835	2.012	0.121
3.525	1.147	-0.117	0.864	1.909	0.114
3.6	1.079	-0.181	0.894	1.802	0.107
3.675	1.006	-0.239	0.913	1.694	0.1
3.75	0.933	-0.298	0.937	1.582	0.092
3.825	0.859	-0.361	0.957	1.46	0.085
3.9	0.781	-0.42	0.972	1.343	0.077
3.975	0.703	-0.479	0.991	1.216	0.069
4.05	0.625	-0.537	1.001	1.094	0.061
4.125	0.542	-0.591	1.016	0.967	0.053
4.2	0.454	-0.645	1.025	0.835	0.045
4.275	0.376	-0.703	1.035	0.708	0.036
4.35	0.293	-0.757	1.04	0.571	0.028
4.425	0.205	-0.801	1.04	0.439	0.02
4.5	0.122	-0.854	1.045	0.308	0.011
4.575	0.039	-0.898	1.045	0.166	0.002
4.65	-0.049	-0.947	1.035	0.034	-0.006
4.725	-0.137	-0.991	1.035	-0.103	-0.015
4.8	-0.22	-1.03	1.03	-0.239	-0.023
4.875	-0.303	-1.069	1.016	-0.371	-0.031
4.95	-0.386	-1.113	1.006	-0.508	-0.04
5.025	-0.469	-1.143	0.991	-0.64	-0.048
5.1	-0.552	-1.182	0.977	-0.771	-0.057
5.175	-0.64	-1.206	0.957	-0.903	-0.065
5.25	-0.713	-1.23	0.937	-1.03	-0.073
5.325	-0.796	-1.26	0.923	-1.157	-0.081
5.4	-0.869	-1.284	0.894	-1.284	-0.088
5.475	-0.942	-1.309	0.869	-1.401	-0.096
5.55	-1.016	-1.323	0.845	-1.523	-0.103
5.625	-1.089	-1.333	0.811	-1.641	-0.11
